,bback_label,bback_c1_suit,bback_c1_rank,bback_c2_suit,bback_c2_rank,bback_c3_suit,bback_c3_rank,bback_c4_suit,bback_c4_rank,bback_c5_suit,bback_c5_rank
0,10,4,13,4,12,4,11,4,10,4,9
1,10,4,13,4,12,4,11,4,10,4,9
2,10,4,13,4,12,4,11,4,10,4,9
3,10,4,13,4,12,4,11,4,10,4,9
4,10,4,13,4,12,4,11,4,10,4,9
5,10,4,13,4,12,4,11,4,10,4,9
6,10,4,13,4,12,4,11,4,10,4,9
7,10,4,13,4,12,4,11,4,10,4,9
8,10,4,13,4,12,4,11,4,10,4,9
9,10,4,13,4,12,4,11,4,10,4,9
10,10,4,13,4,12,4,11,4,10,4,9
11,10,4,13,4,12,4,11,4,10,4,9
12,10,4,13,4,12,4,11,4,10,4,9
13,10,4,13,4,12,4,11,4,10,4,9
14,10,4,13,4,12,4,11,4,10,4,9
15,10,4,13,4,12,4,11,4,10,4,9
16,10,4,13,4,12,4,11,4,10,4,9
17,10,4,13,4,12,4,11,4,10,4,9
18,10,4,13,4,12,4,11,4,10,4,9
19,10,4,13,4,12,4,11,4,10,4,9
20,10,4,13,4,12,4,11,4,10,4,9
21,10,4,13,4,12,4,11,4,10,4,9
22,10,3,13,3,12,3,11,3,10,3,9
23,10,3,13,3,12,3,11,3,10,3,9
24,10,3,13,3,12,3,11,3,10,3,9
25,10,3,13,3,12,3,11,3,10,3,9
26,10,3,13,3,12,3,11,3,10,3,9
27,10,3,13,3,12,3,11,3,10,3,9
28,10,3,13,3,12,3,11,3,10,3,9
29,10,3,13,3,12,3,11,3,10,3,9
30,10,3,13,3,12,3,11,3,10,3,9
31,10,3,13,3,12,3,11,3,10,3,9
32,10,3,13,3,12,3,11,3,10,3,9
33,10,3,13,3,12,3,11,3,10,3,9
34,10,3,13,3,12,3,11,3,10,3,9
35,10,3,13,3,12,3,11,3,10,3,9
36,10,3,13,3,12,3,11,3,10,3,9
37,10,3,13,3,12,3,11,3,10,3,9
38,10,3,13,3,12,3,11,3,10,3,9
39,10,3,13,3,12,3,11,3,10,3,9
40,10,3,13,3,12,3,11,3,10,3,9
41,10,3,13,3,12,3,11,3,10,3,9
42,10,3,13,3,12,3,11,3,10,3,9
43,10,3,13,3,12,3,11,3,10,3,9
44,10,3,13,3,12,3,11,3,10,3,9
45,10,2,13,2,12,2,11,2,10,2,9
46,10,2,13,2,12,2,11,2,10,2,9
47,10,2,13,2,12,2,11,2,10,2,9
48,10,2,13,2,12,2,11,2,10,2,9
49,10,2,13,2,12,2,11,2,10,2,9
50,10,2,13,2,12,2,11,2,10,2,9
51,10,2,13,2,12,2,11,2,10,2,9
52,10,2,13,2,12,2,11,2,10,2,9
53,10,2,13,2,12,2,11,2,10,2,9
54,10,2,13,2,12,2,11,2,10,2,9
55,10,2,13,2,12,2,11,2,10,2,9
56,10,2,13,2,12,2,11,2,10,2,9
57,10,2,13,2,12,2,11,2,10,2,9
58,10,2,13,2,12,2,11,2,10,2,9
59,10,2,13,2,12,2,11,2,10,2,9
60,10,2,13,2,12,2,11,2,10,2,9
61,10,2,13,2,12,2,11,2,10,2,9
62,10,2,13,2,12,2,11,2,10,2,9
63,10,2,13,2,12,2,11,2,10,2,9
