,bfront_label,bfront_c1_suit,bfront_c1_rank,bfront_c2_suit,bfront_c2_rank,bfront_c3_suit,bfront_c3_rank
0,4,4,13,2,13,3,13
1,4,4,13,1,13,3,13
2,4,3,13,4,13,1,13
3,4,3,13,2,13,4,13
4,4,3,13,2,13,1,13
5,4,3,13,2,13,1,13
6,4,3,13,1,13,4,13
7,4,3,13,1,13,4,13
8,4,2,13,4,13,1,13
9,4,2,13,4,13,1,13
10,4,2,13,3,13,1,13
11,4,2,13,1,13,4,13
12,4,1,13,4,13,3,13
13,4,1,13,3,13,4,13
14,4,1,13,2,13,3,13
15,4,4,12,3,12,2,12
16,4,4,12,3,12,1,12
17,4,4,12,3,12,1,12
18,4,4,12,3,12,1,12
19,4,4,12,2,12,3,12
20,4,4,12,2,12,3,12
21,4,4,12,2,12,3,12
22,4,4,12,2,12,1,12
23,4,4,12,1,12,3,12
24,4,3,12,4,12,2,12
25,4,3,12,2,12,4,12
26,4,3,12,2,12,4,12
27,4,3,12,1,12,4,12
28,4,3,12,1,12,2,12
29,4,3,12,1,12,2,12
30,4,3,12,1,12,2,12
31,4,2,12,4,12,3,12
32,4,2,12,4,12,3,12
33,4,2,12,3,12,1,12
34,4,1,12,4,12,3,12
35,4,1,12,4,12,3,12
36,4,1,12,4,12,2,12
37,4,1,12,4,12,2,12
38,4,1,12,4,12,2,12
39,4,1,12,2,12,4,12
40,4,1,12,2,12,3,12
41,4,1,12,2,12,3,12
42,4,4,11,3,11,2,11
43,4,4,11,3,11,1,11
44,4,4,11,3,11,1,11
45,4,4,11,2,11,3,11
46,4,4,11,2,11,3,11
47,4,4,11,1,11,2,11
48,4,3,11,4,11,2,11
49,4,3,11,4,11,2,11
50,4,3,11,2,11,4,11
51,4,3,11,2,11,4,11
52,4,3,11,2,11,1,11
53,4,3,11,1,11,2,11
54,4,2,11,3,11,4,11
55,4,2,11,3,11,4,11
56,4,2,11,1,11,3,11
57,4,1,11,4,11,2,11
58,4,1,11,4,11,2,11
59,4,1,11,4,11,2,11
60,4,1,11,3,11,4,11
61,4,1,11,3,11,4,11
62,4,1,11,3,11,2,11
63,4,1,11,2,11,4,11
64,4,1,11,2,11,3,11
65,4,1,11,2,11,3,11
66,4,1,11,2,11,3,11
67,4,1,11,2,11,3,11
68,4,1,11,2,11,3,11
69,4,1,11,2,11,3,11
70,4,4,10,3,10,2,10
71,4,4,10,3,10,2,10
72,4,4,10,3,10,2,10
73,4,4,10,1,10,3,10
74,4,4,10,1,10,3,10
75,4,4,10,1,10,3,10
76,4,4,10,1,10,2,10
77,4,3,10,4,10,1,10
78,4,3,10,2,10,4,10
79,4,3,10,2,10,1,10
80,4,2,10,3,10,4,10
81,4,2,10,3,10,1,10
82,4,2,10,1,10,4,10
83,4,2,10,1,10,4,10
84,4,2,10,1,10,4,10
85,4,1,10,4,10,3,10
86,4,1,10,4,10,3,10
87,4,1,10,4,10,3,10
88,4,1,10,4,10,3,10
89,4,1,10,4,10,2,10
90,4,1,10,4,10,2,10
91,4,1,10,3,10,2,10
92,4,1,10,2,10,4,10
93,4,1,10,2,10,3,10
94,4,4,9,3,9,2,9
95,4,4,9,3,9,1,9
96,4,4,9,2,9,3,9
97,4,4,9,2,9,3,9
98,4,4,9,2,9,3,9
99,4,4,9,2,9,3,9
100,4,4,9,1,9,2,9
101,4,3,9,4,9,2,9
102,4,3,9,4,9,1,9
103,4,3,9,4,9,1,9
104,4,3,9,2,9,4,9
105,4,3,9,2,9,4,9
106,4,3,9,2,9,4,9
107,4,3,9,2,9,4,9
108,4,3,9,2,9,1,9
109,4,3,9,2,9,1,9
110,4,3,9,2,9,1,9
111,4,3,9,2,9,1,9
112,4,3,9,1,9,4,9
113,4,2,9,4,9,3,9
114,4,2,9,3,9,4,9
115,4,2,9,3,9,1,9
116,4,2,9,3,9,1,9
117,4,2,9,3,9,1,9
118,4,2,9,1,9,4,9
119,4,2,9,1,9,4,9
120,4,2,9,1,9,3,9
121,4,2,9,1,9,3,9
122,4,2,9,1,9,3,9
123,4,2,9,1,9,3,9
124,4,2,9,1,9,3,9
125,4,1,9,4,9,3,9
126,4,1,9,4,9,2,9
127,4,1,9,4,9,2,9
128,4,1,9,3,9,4,9
129,4,1,9,3,9,2,9
130,4,1,9,2,9,3,9
