,bmid_label,bmid_c1_suit,bmid_c1_rank,bmid_c2_suit,bmid_c2_rank,bmid_c3_suit,bmid_c3_rank,bmid_c4_suit,bmid_c4_rank,bmid_c5_suit,bmid_c5_rank
0,10,4,13,4,12,4,11,4,10,4,9
1,10,4,13,4,12,4,11,4,10,4,9
2,10,4,13,4,12,4,11,4,10,4,9
3,10,4,13,4,12,4,11,4,10,4,9
4,10,4,13,4,12,4,11,4,10,4,9
5,10,4,13,4,12,4,11,4,10,4,9
6,10,4,13,4,12,4,11,4,10,4,9
7,10,4,13,4,12,4,11,4,10,4,9
8,10,4,13,4,12,4,11,4,10,4,9
9,10,3,13,3,12,3,11,3,10,3,9
10,10,3,13,3,12,3,11,3,10,3,9
11,10,3,13,3,12,3,11,3,10,3,9
12,10,3,13,3,12,3,11,3,10,3,9
13,10,3,13,3,12,3,11,3,10,3,9
14,10,3,13,3,12,3,11,3,10,3,9
15,10,3,13,3,12,3,11,3,10,3,9
16,10,3,13,3,12,3,11,3,10,3,9
17,10,3,13,3,12,3,11,3,10,3,9
18,10,3,13,3,12,3,11,3,10,3,9
19,10,3,13,3,12,3,11,3,10,3,9
20,10,3,13,3,12,3,11,3,10,3,9
21,10,2,13,2,12,2,11,2,10,2,9
22,10,2,13,2,12,2,11,2,10,2,9
23,10,2,13,2,12,2,11,2,10,2,9
24,10,2,13,2,12,2,11,2,10,2,9
25,10,2,13,2,12,2,11,2,10,2,9
26,10,2,13,2,12,2,11,2,10,2,9
27,10,2,13,2,12,2,11,2,10,2,9
28,10,2,13,2,12,2,11,2,10,2,9
29,10,2,13,2,12,2,11,2,10,2,9
30,10,2,13,2,12,2,11,2,10,2,9
31,10,2,13,2,12,2,11,2,10,2,9
32,10,2,13,2,12,2,11,2,10,2,9
33,10,2,13,2,12,2,11,2,10,2,9
34,10,1,13,1,12,1,11,1,10,1,9
35,10,1,13,1,12,1,11,1,10,1,9
36,10,1,13,1,12,1,11,1,10,1,9
37,10,1,13,1,12,1,11,1,10,1,9
38,10,1,13,1,12,1,11,1,10,1,9
39,10,1,13,1,12,1,11,1,10,1,9
40,10,1,13,1,12,1,11,1,10,1,9
41,10,1,13,1,12,1,11,1,10,1,9
42,10,1,13,1,12,1,11,1,10,1,9
43,10,1,13,1,12,1,11,1,10,1,9
44,10,1,13,1,12,1,11,1,10,1,9
45,10,1,13,1,12,1,11,1,10,1,9
46,10,1,13,1,12,1,11,1,10,1,9
47,9,4,12,4,11,4,10,4,9,4,8
48,9,4,12,4,11,4,10,4,9,4,8
49,9,4,12,4,11,4,10,4,9,4,8
50,9,4,12,4,11,4,10,4,9,4,8
51,9,4,12,4,11,4,10,4,9,4,8
52,9,4,12,4,11,4,10,4,9,4,8
53,9,4,12,4,11,4,10,4,9,4,8
54,9,4,12,4,11,4,10,4,9,4,8
55,9,4,12,4,11,4,10,4,9,4,8
56,9,4,12,4,11,4,10,4,9,4,8
57,9,4,12,4,11,4,10,4,9,4,8
58,9,3,12,3,11,3,10,3,9,3,8
59,9,3,12,3,11,3,10,3,9,3,8
60,9,3,12,3,11,3,10,3,9,3,8
61,9,3,12,3,11,3,10,3,9,3,8
62,9,3,12,3,11,3,10,3,9,3,8
